Year,Bill No.,Short Title of the Bill,Date of Introduction,Debate / Passed in LS,Debate / Passed in RS,Referred to Committee / Report Presented,Assent Date/ Gazette Notification / Act No.,Synopsis,Status
1984,XII,"The Wakf (Amendment) Bill, 1984",10/5/1984,27/08/1984,23/07/1984,NA,10/10/1984 69 of 1984,NA,Assented
1984,VIII,"The Government of Union Territories (Amendment) Bill, 1984",23/04/1984,30/03/1984,24/03/1984,NA,5/8/1984 19 of 1984,NA,Assented
1984,V,"The University Grants Commission (Amendment) Bill, 1984",22/03/1984,21/08/1984,1/8/1984,NA,30/08/1984 59 of 1984,NA,Assented
1984,XXI,"The Family Courts Bill, 1984",21/03/1984,27/08/1984,23/08/1984,NA,14/09/1984 66 of 1984,NA,Assented
1984,XIX,"The Copyright (Amendment) Bill, 1984",16/03/1984,27/08/1984,23/08/1984,NA,14/09/1984 65 of 1984,NA,Assented
1984,IV,"The Asiatic Society Bill, 1984",3/3/1984,19/03/1984,3/5/1984,NA,23/03/1984 5 of 1984,NA,Assented
1984,II,"The Workmens Compensation (Amendment) Bill, 1984",3/3/1984,3/5/1985,22/03/1984,NA,12/5/1985 22 of 1984,NA,Assented
1984,I,"The Prevention of Damage to Public Property Bill, 1984",27/02/1984,3/8/1984,3/3/1984,NA,16/03/1984 3 of 1984,NA,Assented
1984,XVII,"The Cinamatograph (Amendment) Bill, 1984",8/2/1984,17/08/1984,8/8/1984,NA,27/08/1984 56 of 1984,NA,Assented
1984,XV,"The Coal Mines (Conservation And Development) Amendment Bill, 1985",8/1/1984,29/08/1985,25/07/1985,NA,9/4/1985 55 of 1985,NA,Assented
1984,XXXVII,"The Monopolicies and Restrictive Trade Practices (Amendment) Bill, 1984",22/12/1983,7/5/1984,26/04/1984,NA,21/05/1984 30 of 1984,NA,Assented
1983,XXXIII,"The Essential Commodities (Amendment) Bill, 1984",19/12/1983,30/04/1984,21/12/1983,NA,26/05/1984 34 of 1984,NA,Assented
1983,XXXIV,"The Punjab Panchayat Samitis and Zila Parishads (Temporary Supersession) Second Amendment Bill, 1983",15/12/1983,19/12/1983,16/12/1983,NA,25/12/1983 45 of 1983,NA,Assented
1983,XIV,"The Criminal Law (Second Amendment) Bill, 1983",8/8/1983,21/12/1983,12/12/1983,NA,25/12/1983 46 of 1983,NA,Assented
1983,XIII,"The Indian Railways (Amendment) Bill, 1983",8/3/1983,21/12/1983,12/1/1983,NA,25/12/1983 44 of 1983,NA,Assented
1982,XXXVII,"The Suppression of Unlawful Acts against Safety of Civil Aviation Bill, 1982",22/10/1982,11/5/1982,11/2/1982,NA,11/6/1982 66 of 1982,NA,Assented
1982,XXXVI,"The Anti-Hijacking Bill, 1982",22/10/1982,11/5/1982,11/2/1982,NA,11/6/1982 65 of 1982,NA,Assented
1982,XXXII,"The Administrators-General (Amendment) Bill, 1983",18/10/1982,19/08/1983,27/07/1983,NA,26/08/1983 18 of 1983,NA,Assented
1982,XVI,"The Powers-of-Attorney (Amendment) Bill, 1982",14/07/1982,16/10/1982,10/7/1982,NA,22/10/1982 55 of 1982,NA,Assented
1982,XI,"The National Waterway (Allahabad-Haldia Stretch of the Ganga-Bhagirathi-Hooghly River) Bill, 1982",5/6/1982,10/6/1982,27/07/1982,NA,18/10/1982 49 of 1982,NA,Assented
1982,X,"The Payment of Wages (Amendment) Bill, 1982",5/6/1982,8/11/1982,19/07/1982,NA,18/08/1982 38 of 1982,NA,Assented
1982,XXXIX,"The Aircraft (Amendment) Bill, 1982",11/5/1982,22/03/1983,15/03/1983,NA,26/03/1983 1 of 1983,NA,Assented
1982,XLI,"The Copyright (Amendment) Bill, 1983",11/5/1982,25/08/1983,8/4/1983,NA,31/08/1983 23 of 1983,NA,Assented
1982,XL,"The Delegated Legislation Provisions (Amendment) Bill, 1983",11/5/1982,19/08/1983,27/07/1983,NA,30/08/1983 20 of 1983,NA,Assented
1982,II,"The Navy (jAmendment) Bill, 1982",16/03/1982,10/4/1982,20/07/1982,NA,16/10/1982 48 of 1982,NA,Assented
1982,IX,"The Rubber (Amendment) Bill, 1982",5/3/1982,16/10/1982,26/07/1982,NA,22/10/1982 54 of 1982,NA,Assented
1982,I,"The Prevention of Black Marketing and Maintenance of Supplies of Essential Commodities (Amendment) Bill, 1982",23/02/1982,2/8/1982,13/07/1982,NA,5/8/1982 27 of 1982,NA,Assented
1982,XXXVIII,"The Hindu Widows Re-Marriage (Repeal) Bill, 1983",11/2/1982,26/08/1983,8/1/1983,NA,31/08/1983 24 of 1983,NA,Assented
1981,XLIV,"The Indian Veternary Council, Bill, 1981",23/12/1981,8/9/1984,23/07/1984,NA,18/08/1984 52 of 1984,NA,Assented
1982,XLV,"The Public Wakfs (Limitation of Extension) (Delhi Amendment) Bill, 1982",22/12/1981,8/7/1982,15/07/1982,NA,19/08/1982 39 of 1982,NA,Assented
1981,XLIII,"The Industrial Employment (Standing Orders) Amendment Bill, 1981",21/12/1981,30/04/1982,25/03/1982,NA,5/11/1982 18 of 1982,NA,Assented
1981,XLII,"The Major Port Trusts (Amendment) Bill, 1981",14/12/1981,28/04/1982,22/03/1982,NA,11/5/1982 17 of 1982,NA,Assented
1981,XLI,"The Mental Health Bill, 1987",14/12/1981,19/03/1987,26/11/1986,NA,25/05/1987 14 of 1987,NA,Assented
1981,XXXVI,"The Indian Iron and Steel Company (Acquisition of Shares) Amendment Bill, 1981",23/11/1981,NA,NA,NA,29/12/1981 59 of 1981,NA,Assented
1981,XXXV,"The Sugar Undertakings (Taking over of Management) Amendment Bill, 1981",23/11/1981,30/11/1981,26/11/1981,NA,30/11/1981 44 of 1981,NA,Assented
1981,XX,"the Working Journalists and Other Newspaper Emplpuees (Conditions of Service and Miscelleneous (Amenment) Bill, 1981",20/08/1981,16/09/1981,25/08/1981,NA,18/09/1981 36 of 1981,NA,Assented
1981,XIV,"The Pensions (Amendment) Bill, 1981",18/08/1981,29/04/1982,23/11/1981,NA,18/05/1982 20 of 1982,NA,Assented
1981,XXVIII,"The Assam State Legislature (Delegation of Powers) Bill, 1981",9/7/1981,18/09/1981,14/09/1981,NA,22/09/1981 39 of 1981,NA,Assented
1981,XXVII,"The Pharmacy (Amendment) Bill, 1981",9/7/1981,29/04/1982,12/1/1981,NA,18/05/1982 22 of 1982,NA,Assented
1981,VI,"The Delhi Sikh Gurdwaras (Amendment) Bill, 1981",9/3/1981,23/03/1981,17/03/1981,NA,25/03/1981 6 of 1981,NA,Assented
1981,IV,"The Prevention of Blackmarketing and Maintenance of Supplies of Essential Commodities (Amendment) Bill, 1981",24/02/1981,25/08/1981,23/04/1981,NA,9/2/1981 19 of 1981,NA,Assented
1981,III,"The Essential Commodities (Special Provisions) Bill, 1981",24/02/1981,25/08/1981,23/04/1981,NA,2/9/1981 18 of 1981,NA,Assented
1981,I,"The State of Nagaland (Amendment) Bill, 1981",19/02/1981,16/09/1981,24/08/1981,NA,18/09/1981 35 of 1981,NA,Assented
1980,XXI,"The Special Courts (Repeal) Bill, 1981",24/12/1980,29/07/1982,19/08/1981,NA,17/08/1982 34 of 1982,NA,Assented
1980,XX,"The Cinematograph (Amendment) Bill, 1981",24/12/1980,14/12/1981,28/04/1981,NA,18/12/1981 49 of 1981,NA,Assented
1980,XIX,"The Salary, Allowances and Pension of Members of Parliament (Amendment) Bill, 1981",15/12/1980,27/08/1981,25/02/1981,NA,9/4/1981 21 of 1981,NA,Assented
1980,XVIIII,"The Architects (Amendment) Bill, 1980",20/11/1980,29/04/1982,3/12/1980,NA,18/05/1982 21 of 1982,NA,Assented
1979,V,"The Sales Promotion Employees (Conditions of Service) Amendment Bill, 1979",3/5/1979,16/10/1982,12/11/1980,NA,13/11/1982 69 of 1982,NA,Assented
1979,VIII,"The Khuda Baksh Oriental Public Library (Amendment) Bill, 1979",28/03/1979,3/12/1981,20/11/1980,NA,24/12/1981 51 of 1981,NA,Assented
1979,IX,"The Rampur Raza Library (Amendment) Bill, 1979",28/03/1979,30/11/1981,20/11/1981,NA,24/12/1981 52 of 1981,NA,Assented
1978,XVIII,"The Delhi High Court (Amendment) Bill, 1978",7/12/1978,20/06/1980,6/12/1980,NA,7/2/1980 37 of 1980,NA,Assented
1978,XI,"The Coast Guard Bill, 1978",31/07/1978,17/08/1978,8/2/1978,NA,18/08/1978 30 of 1978,NA,Assented
1978,VII,"The Repealing and Amending Bill, 1978",18/07/1978,21/11/1978,26/07/1978,NA,26/11/1978 38 of 1978,NA,Assented
1978,VI,"The Employment of Children (Amendment) Bill, 1978",17/05/1978,27/11/1978,26/07/1978,NA,29/11/1978 39 of 1978,NA,Assented
1978,II,"The Visva-Bharati (Amendment) Bill, 1978",23/03/1978,5/8/1984,23/03/1984,NA,21/05/1984 31 of 1984,NA,Assented
1978,I,"The Insoluency Laws (Amendment) Bill, 1978",16/03/1978,8/2/1978,26/04/1978,NA,4/8/1978 28 of 1978,NA,Assented
1977,XVIII,"The Press Council Bill, 1977",23/12/1977,31/08/1978,8/7/1978,NA,9/7/1978 37 of 1978,NA,Assented
1977,XVII,"The Public Wakfs (Extension of Limitation) (Delhi Amendment) Bill, 1977",20/12/1977,23/03/1978,28/02/1978,NA,30/03/1978 12 of 1978,NA,Assented
1977,XVI,"The Children (Amendment) Bill, 1977",14/12/1977,23/03/1978,19/12/1977,NA,31/03/1978 15 of 1978,NA,Assented
1977,XV,"The Port Laws (Amendment) Bill, 1977",8/12/1977,23/03/1978,13/12/1977,NA,5/4/1978 17 of 1978,NA,Assented
1977,XIII,"The Requisitioning and Acquesition of Immovable Property (Amendment) Bill, 1977",16/11/1977,22/12/1977,17/11/1977,NA,24/12/1977 44 of 1977,NA,Assented
1977,III,"The Oil and Natural Gas Commission (Amendment) Bill, 1977",22/06/1977,25/07/1977,19/07/1977,NA,30/07/1977 23 of 1977,NA,Assented
1977,I,"The Food Corporations (Amendment) Bill, 1977",31/03/1977,4/7/1977,4/4/1977,NA,11/4/1977 12 of 1977,NA,Assented
1977,V,"The Betwa River Board (Amendment) Bill, 1977",8/9/1976,22/12/1977,14/11/1977,NA,25/12/1977 47 of 1977,NA,Assented
1976,XXXVII,"The Insecticides (Amendment) Bill, 1976",24/08/1976,26/07/1977,18/07/1977,NA,2/8/1977 24 of 1977,NA,Assented
1976,XXXIII,"The Antiquities and Art Treasures (Amendment) Bill, 1976",10/8/1976,24/08/1976,16/08/1976,NA,9/4/1976 94 of 1976,NA,Assented
1976,IX,"The Payment of Wages (Amendment) Bill, 1976",1/8/1976,2/3/1976,15/01/1976,NA,2/11/1976 29 of 1976,NA,Assented
1976,VIII,"The Equal Remuneration Bill, 1976",1/6/1976,30/01/1976,1/12/1976,NA,2/11/1976 25 of 1976,NA,Assented
1976,VII,"The Bonded Labour System (Abolition) Bill, 1976",1/6/1976,27/01/1976,1/12/1976,NA,2/9/1976 19 of 1976,NA,Assented
1976,V,"The Motor Vehicles (Amendment) Bill, 1976",1/6/1976,30/01/1976,19/01/1976,NA,2/11/1976 26 of 1976,NA,Assented
1976,XXVIII,"The Territorial Waters, Continental Shelf, Exclusive Economic Zone and other Maritime Zones Bill, 1976",28/05/1976,17/08/1976,8/10/1976,NA,25/08/1976 80 of 1976,NA,Assented
1976,XXIX,"The Factories (Amendment) Bill, 1976",28/05/1976,27/08/1976,11/8/1976,NA,4/9/1976 94 of 1976,NA,Assented
1976,XXVII,"The Essential Commodities (Amendment) Bill, 1976",27/05/1976,26/08/1976,8/11/1976,NA,9/2/1976 92 of 1976,NA,Assented
1976,XXIV,"The Merchant Shipping (Amendment) Bill, 1976",1/4/1976,24/05/1976,12/5/1976,NA,27/05/1976 69 of 1976,NA,Assented
1976,XXIII,"The Workmens compensation (Amenment) Bill, 1976",31/03/1976,19/05/1976,4/1/1976,NA,21/05/1976 65 of 1976,NA,Assented
1976,XXII,"The Marriage Laws (Amendment) Bill, 1976",29/03/1976,24/05/1976,5/12/1976,NA,27/05/1976 68 of 1976,NA,Assented
1976,XXI,"The Tariff Commission (Repeal) Bill, 1976",29/03/1976,26/05/1976,12/5/1976,NA,28/05/1976 71 of 1976,NA,Assented
1976,XX,"The Kerala Legislative Assembly (Extension of Duration) Amendment Bill, 1976",23/03/1976,29/03/1976,25/03/1976,NA,31/03/1976 46 of 1976,NA,Assented
1976,XIX,"The Gujarat State Legislature (Delegation of Powers) Bill, 1976",23/03/1976,29/03/1976,25/03/1976,NA,30/03/1976 44 of 1976,NA,Assented
1976,XVIII,"The Tamil Nadu State Legislatue (Dellegation of Powers) Bill, 1976",9/3/1976,18/03/1976,10/3/1976,NA,22/03/1976 41 of 1976,NA,Assented
1976,XVII,"The Indian Standards Institution (Certification Marks) Amendment Bill, 1976",2/3/1976,30/03/2001,3/10/2001,NA,4/3/2001 54 of 1976,NA,Assented
1976,XXXIX,"The Motor Vehicles (Second Amendment) Bill, 1976",9/2/1976,25/07/1977,18/07/1977,NA,3/8/1977 27 of 1977,NA,Assented
1976,XVI,"The Industrial Disputes (Amendment) Bill, 1976",28/01/1976,2/5/1976,2/2/1976,NA,16/02/1976 32 of 1976,NA,Assented
1976,XV,"The Maternity Benefit (Amendment) Bill, 1976",22/01/1976,30/03/1976,3/8/1976,NA,4/3/1976 53 of 1976,NA,Assented
1976,XIV,"The Payment of Bonus (Amendment) Bill, 1976",22/01/1976,2/4/1976,28/01/1976,NA,11/2/1976 23 of 1976,NA,Assented
1976,XII,"The Delhi Rent Control (Amendment) Bill, 1976",19/01/1976,27/01/1976,29/01/1976,NA,2/9/1976 18 of 1976,NA,Assented
1976,XI,"The Contempt of Courts (Amendment) Bill, 1976",19/01/1976,29/03/1976,3/8/1976,NA,30/03/1976 45 of 1976,NA,Assented
1976,VI,"The Indian Railways (Amendment) Bill, 1976",6/1/1976,23/01/1976,12/1/1976,NA,25/01/1976 9 of 1976,NA,Assented
1975,XVII,"The Pharmacy (Amendment) Bill, 1975",8/8/1975,24/05/1976,5/12/1976,NA,27/05/1976 70 of 1976,NA,Assented
1975,XV,"The Standards of Weights, and Measures Bill, 1975",25/07/1975,3/9/1976,15/01/1976,NA,4/8/1976 6 of 1976,NA,Assented
1975,XVI,"The Kerala Legislative Assembly (Extention of Duration) Bill, 1975",22/07/1975,29/07/1975,23/07/1975,NA,31/07/1975 33 of 1975,NA,Assented
1975,XIV,"The Defence of India (Amendment) Bill, 1975",21/07/1975,29/07/1975,23/07/1975,NA,31/07/1975 32 of 1975,NA,Assented
1975,XIII,"The Nagaland State Legislature (Delegation of Powers) Bill, 1975",21/07/1975,28/07/1975,23/07/1975,NA,30/07/1975 31 of 1975,NA,Assented
1975,XII,"The Sales Promotion Employees (Conditions of Service) Bill, 1975",14/05/1975,1/12/1976,24/07/1975,NA,25/01/1976 11 of 1976,NA,Assented
1975,VII,"The Employees State Insurance (Amendment) Bill, 1975",22/03/1975,30/07/1975,24/07/1975,NA,1/8/1975 38 of 1975,NA,Assented
1975,VI,"The North-Eastern Areas (Reorganisation) Amendment Bill, 1975",10/3/1975,18/03/1975,13/03/1975,NA,19/03/1975 3 of 1975,NA,Assented
1975,IV,"The Requisitioning and Acquisition of Immovable Property (Amendment) Bill, 1975",20/02/1975,3/4/1975,26/02/1975,NA,7/3/1975 2 of 1975,NA,Assented
1975,LXI,"The All-India Services (Amendment) Bill, 1975",21/12/1974,5/6/1975,3/3/1975,NA,5/9/1975 23 of 1975,NA,Assented
1975,LX,"The Former Secretary of State Service Officers (Conditions of Service) Amendment Bill, 1974",21/12/1974,6/5/1975,3/3/1975,NA,9/5/1975 24 of 1975,NA,Assented
1975,LVIII,"The Press Council (Second Amendment) Bill, 1975",21/12/1974,24/03/1975,26/02/1975,NA,29/03/1975 12 of 1975,NA,Assented
1975,LIX,"The Air Force and Army Laws (Amendment) Bill, 1975",21/12/1974,25/03/1975,27/02/1975,NA,29/03/1975 13 of 1975,NA,Assented
1974,LX,"The Former Secretary of State Service Officers (Conditions of Service) Amendment Bill, 1974",21/12/1974,6/5/1975,3/3/1975,NA,9/5/1975 24 of 1975,NA,Assented
1975,XLVII,"The Telegraph Wires (Unlawful Possession) Amendment Bill, 1975",11/12/1974,8/1/1975,25/11/1974,NA,8/7/1975 44 of 1975,NA,Assented
1974,XXXIII,"The Prevention of Food Adulteration (Amendment) Bill, 1974",8/12/1974,6/2/1976,27/01/1976,NA,17/02/1976 34 of 1976,NA,Assented
1974,LV,"The Small Coins (Offences) Amendment Bill, 1974",26/11/1974,12/10/1974,28/11/1974,NA,12/10/1974 49 of 1974,NA,Assented
1974,LIII,"The Working Journalists (Condition of Service) and Miscellaneous Provisions (Amendment) Bil, 1974",20/11/1974,17/12/1974,12/2/1974,NA,21/12/1974 60 of 1974,NA,Assented
1974,XLIX,"The Repealing and Amending Bill, 1974",18/11/1974,17/12/1974,25/11/1974,NA,20/12/1974 56 of 1974,NA,Assented
1974,XLVIII,"The East Punjab Urban Rent Restriction Act (Extension to Chandigarh) Bill, 1974",12/11/1974,17/12/1974,18/11/1974,NA,20/12/1974 54 of 1974,NA,Assented
1975,LXVI,"The Tokyo Convention Bill, 1975",11/11/1974,26/03/1975,27/11/1974,NA,5/8/1975 20 of 1975,NA,Assented
1974,XXXIX,"The Delhi Municipal Corporation (Amendment) Bill, 1974",7/9/1974,17/12/1974,11/11/1974,NA,20/12/1974 55 of 1974,NA,Assented
1974,XXXVII,"The Punjab Municipal (Chandigarh Amendment) Bill, 1974",29/08/1974,17/12/1974,6/9/1974,NA,21/12/1974 59 of 1974,NA,Assented
1974,XXXV,"The Payment of Bonus (Amendment) Bill, 1974",22/08/1974,9/9/1974,27/08/1974,NA,11/9/1974 42 of 1974,NA,Assented
1974,XXVIII,"The Alock Ashdown Limited (Acquisition of Undertakings) Amendment Bill, 1974",1/8/1974,28/08/1974,8/8/1974,NA,31/08/1974 33 of 1974,NA,Assented
1974,XXVII,"The National Cadet Corps (Amendment) Bill, 1974",29/07/1974,5/8/1975,9/4/1974,NA,16/08/1975 50 of 1975,NA,Assented
1974,XXV,"The Indian Iron & Steel Company (Taking Over of Management) Amendment Bill, 1974",25/07/1974,30/08/1974,8/8/1974,NA,31/08/1974 36 of 1974,NA,Assented
1974,XXIV,"The Press Council (Amendment) Bill, 1974",25/07/1974,29/08/1974,7/8/1974,NA,31/08/1974 34 of 1974,NA,Assented
1974,XXVI,"The Industries (Development and Regulation) Amendment Bill, 1974",24/07/1974,28/08/1974,8/5/1974,NA,31/08/1974 32 of 1974,NA,Assented
1974,XXIII,"The Essential Commodities (Amendment) Bill, 1974",23/07/1974,26/08/1974,29/07/1974,NA,29/08/1974 30 of 1974,NA,Assented
1974,XIII,"The Rampur Raza Library Bill, 1974",7/5/1974,26/03/1975,23/07/1974,NA,9/5/1975 22 of 1975,NA,Assented
1974,XII,"The Indian Telegraph (Amendment) Bill, 1974",25/04/1974,21/11/1974,22/07/1974,NA,30/11/1974 48 of 1974,NA,Assented
1974,X,"The Economic Offences (Inapplicability of Limitation) Bill, 1974",19/03/1974,25/03/1974,20/03/1974,NA,27/03/1974 12 of 1974,NA,Assented
1974,IX,"The Gujarat State Legislature (Delegation of Powers) Bill, 1974",18/03/1974,26/03/1974,19/03/1974,NA,27/03/1974 11 of 1974,NA,Assented
1974,IV,"The North-Eastern Areas (Reorganisation) Amendment Bill, 1974",21/02/1974,25/03/1974,28/02/1974,NA,27/03/1974 8 of 1974,NA,Assented
1974,XXXVIII,"The Esso (Acquisition of Undertakings in India) Amendment Bill, 1974",9/2/1974,9/7/1974,9/3/1974,NA,7/9/1974 40 of 1974,NA,Assented
1973,XLIV,"The Foreign Contribution (Regulation) Bill, 1973",24/12/1973,29/03/1976,9/3/1976,NA,31/03/1976 49 of 1976,NA,Assented
1973,XLIII,"The Reserve Bank of India (Second Amendment) Bill, 1974",20/12/1973,18/11/1974,19/02/1974,NA,13/12/1974 51 of 1974,NA,Assented
1973,XXXIX,"The Indian Works of Defence (Amendment) Bill, 1973",27/11/1973,12/11/1974,29/11/1973,NA,12/12/1974 50 of 1974,NA,Assented
1973,XL,"The Public Wakfs (Extension of Limitation) (Delhi Amendment) Bill, 1973",27/11/1973,21/02/1974,29/11/1973,NA,27/03/1974 9 of 1974,NA,Assented
1973,XXXV,"The Navy (Amendment) Bill, 1973",21/11/1973,11/12/1974,22/11/1973,NA,16/12/1974 53 of 1974,NA,Assented
1973,XXXIV,"The Payment of Bonus (Second Amendment) Bill, 1973",19/09/1973,5/12/1973,21/11/1973,NA,14/12/1973 55 of 1973,NA,Assented
1973,XXIX,"The Maternity Benefit (Amendment) Bill, 1973",3/9/1973,12/3/1973,11/12/1973,NA,11/12/1973 52 of 1973,NA,Assented
1973,XXVII,"The Industries (Development and Regulation) Amendment Bill, 1973",27/08/1973,12/4/1973,30/08/1973,NA,28/12/1973 67 of 1973,NA,Assented
1973,XXVI,"The Cinematograph (Second Amendment) Bill, 1973",20/08/1973,30/07/1974,27/08/1974,NA,23/08/1974 27 of 1974,NA,Assented
1973,XXIII,"The Coking and Non-Coking Coal Mines (Nationalisation) Amendment Bill, 1973",16/08/1973,9/4/1973,20/08/1973,NA,9/6/1973 41 of 1973,NA,Assented
1973,XXIV,"The Payment of Bonus (Amendment) Bill, 1973",13/08/1973,29/08/1973,16/08/1973,NA,1/9/1973 39 of 1973,NA,Assented
1973,XX,"The Code of Civil Procedure (Amendment) Bill, 1973",30/07/1973,19/11/1973,11/12/1973,NA,29/11/1973 49 of 1973,NA,Assented
1973,XIX,"The Foreign Awards (Recognition and Enforcement) Amendment Bill, 1973",30/07/1973,14/11/1973,16/08/1973,NA,26/11/1973 47 of 1973,NA,Assented
1973,XXI,"The Uttar Pradesh State Legislature (Delegation of Powers) Bill, 1973",8/6/1973,20/08/1973,8/8/1973,NA,22/08/1973 33 of 1973,NA,Assented
1973,VII,"The Plantations Labour (Amendment) Bill, 1973",3/6/1973,24/12/1981,9/3/1981,NA,29/12/1981 58 of 1981,NA,Assented
1973,XV,"The State Bank Laws (Amendment) Bill, 1973",16/05/1973,14/11/1973,30/07/1973,NA,26/11/1973 48 of 1973,NA,Assented
1973,X,"The Orissa State Legislature (Delegation of Powers) Bill, 1973",22/03/1973,5/7/1973,29/03/1973,NA,10/5/1973 20 of 1973,NA,Assented
1973,IX,"The Andhra Pradesh State Legislature (Delegation of Power) Bill, 1973",20/03/1973,26/03/1973,22/03/1973,NA,29/03/1973 8 of 1973,NA,Assented
1973,VI,"The Requisitioning and Acquisition of Immovable Property (Amendment) Bill, 1973",22/02/1973,3/6/1973,28/02/1973,NA,3/9/1973 1 of 1973,NA,Assented
1973,XIV,"The Manipur State Legislature (Delegation of Powers) Bill, 1973",5/2/1973,14/05/1973,5/8/1973,NA,19/05/1973 23 of 1973,NA,Assented
1972,XLIII,"The Capital of Punjab (Development and Regulation) (Chandigarh Amendment) Bill, 1972",18/12/1972,26/03/1973,19/12/1972,NA,4/9/1973 17 of 1973,NA,Assented
1972,XL,"The Diplomatic and Consular Officer (Oaths and Fees) (Extension to Jammu and Kashmir) Bill, 1972",23/11/1972,20/02/1973,28/11/1972,NA,13/03/1973 2 of 1973,NA,Assented
1972,XXXVII,"The Cinematograph (Amendment) Bill, 1972",22/11/1972,14/05/1973,27/11/1972,NA,28/05/1973 25 of 1973,NA,Assented
1972,XXXIX,"The Authorised Translations (Central Laws) Bill, 1972",22/11/1972,15/11/1973,27/11/1972,NA,12/5/1973 50 of 1973,NA,Assented
1972,XXXV,"The Apprentices (Amendment) Bill, 1972",21/11/1972,15/05/1973,27/11/1972,NA,7/6/1973 27 of 1973,NA,Assented
1972,XXXIV,"The All-India Services Regulations (Indemnity) Bill, 1972",16/11/1972,26/03/1975,30/04/1975,NA,5/6/1975 19 of 1975,NA,Assented
1972,XXV,"The Victoria Memorial (Amendment) Bill, 1972",8/9/1972,21/08/1972,14/08/1972,NA,25/08/1972 40 of 1972,NA,Assented
1972,XXVI,"The Insecticides (Amendment) Bill, 1972",21/08/1972,30/08/1972,23/08/1972,NA,9/3/1972 46 of 1972,NA,Assented
1972,XVI,"The Supreme Court (Enlargement of Criminal Appellate Jurisdiction) Amendment Bill, 1972",30/05/1972,8/9/1972,6/3/1972,NA,20/08/1972 37 of 1972,NA,Assented
1972,XV,"The Indian Telegraph (Amendment) Bill,1972",16/05/1972,9/8/1972,31/07/1972,NA,21/08/1972 38 of 1972,NA,Assented
1972,XLI,"The Seaward Artillery Practice (Amendment) Bill, 1972",12/4/1972,20/02/1973,12/7/1972,NA,13/03/1973 3 of 1973,NA,Assented
1972,VIII,"The Public Wakfs (Extension of Limitation) (Delhi Amendment) Bill, 1972",28/03/1972,4/7/1972,30/03/1972,NA,4/12/1972 9 of 1972,NA,Assented
1972,VI,"The Administrators-General (Amendment) Bill, 1972",28/03/1972,4/7/1972,30/03/1972,NA,4/12/1972 8 of 1972,NA,Assented
1971,VI,"The Administrators General (Amendment) Bill, 1972",28/03/1972,7/4/1972,30/03/1972,NA,12/4/1972 8 of 1972,NA,Assented
1972,V,"The Armed Forces (Assam and Manipur) Special Powers (Amendment) Bill, 1972",16/03/1972,28/03/2001,18/03/2001,NA,5/4/2001 7 of 1972,NA,Assented
1971,V,"The Armed Forces (Assam and Manipur) Special Powers (Amendment) Bill, 1972",16/03/1972,28/03/1972,18/03/1972,NA,5/4/1972 7 of 1972,NA,Assented
1972,XXIV,"The Delhi University (Amendment) Bill, 1972",8/3/1972,9/1/1972,28/08/1972,NA,9/3/1972 48 of 1972,NA,Assented
1972,IX,"The Architects Bill, 1972",4/3/1972,24/05/1972,4/10/1972,NA,31/05/1972 20 of 1972,NA,Assented
1972,XVII,"The Dentists (Amendment) Bill, 1972",6/1/1972,21/08/1972,8/1/1972,NA,27/08/1972 42 of 1972,NA,Assented
1972,XIX,"The Rice-Milling Industry (Regulation) Amendment Bill, 1972",6/1/1972,30/08/1972,31/07/1972,NA,9/3/1972 47 of 1972,NA,Assented
1971,XXXIV,"The Secunderabad and Aurangabad Cantonments House Rent Control Law (Repeal) Bill, 1971",20/12/1971,26/05/1972,4/6/1972,NA,6/2/1972 23 of 1972,NA,Assented
1971,XXXV,The Essential Commodities (Amendment Bill) 1971,14/12/1971,18/12/1971,16/12/1971,NA,23/12/1971 66 of 1971,NA,Assented
1971,XXXIII,"The Contonments (Extension of Rent Control Laws) Amendment Bill, 1971",13/12/1971,26/05/1972,4/4/1972,NA,6/2/1972 22 of 1972,NA,Assented
1971,XXXII,"The Drugs and Cosmetics (Amendment) Bill, 1971",13/12/1971,25/05/1972,4/4/1972,NA,31/05/1972 19 of 1972,NA,Assented
1971,XXIV,"The Uttar Pradesh Contonments (Control of Rent and Eviction) Repeal Bill, 1971",8/12/1971,18/12/1971,17/11/1971,NA,23/12/1971 68 of 1971,NA,Assented
1971,XXIX,"The Maternity Benefit (Amendment) Bill, 1971",29/11/1971,25/05/1972,3/4/1972,NA,1/6/1972 21 of 1972,NA,Assented
1971,XXIII,"The Industrial Disputes (Amendment) Bill, 1971",8/9/1971,29/11/1971,16/11/1971,NA,12/8/1971 45 of 1971,NA,Assented
1971,XXI,"The Air Corporations (Amendment) Bill, 1971",22/07/1971,12/3/1971,22/11/1971,NA,12/9/1971 49 of 1971,NA,Assented
1971,XVIII,"The Punjab State Legislature (Delegation of Powers) Bill, 1971",22/06/1971,5/8/1971,19/07/1971,NA,10/8/1971 36 of 1971,NA,Assented
1971,XVII,"The Gujarat State Legislature (Delegation of Powers) Bill, 1971",22/06/1971,2/8/1971,19/07/1971,NA,10/8/1971 35 of 1971,NA,Assented
1971,XV,"The Delhi Sikh Gurudwara (Management) Bill, 1971",14/06/1971,22/06/1971,16/06/1971,NA,26/06/1971 24 of 1971,NA,Assented
